      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
       1       1       1    1955        4.2400000        6.1275906
       2       2       1    1955        3.7800000        4.8320415
       3       3       1    1955        3.4900000        4.3630786
       4       4       1    1955        3.2200000        4.0796367
       5       5       1    1955        3.0900000        3.8401519
       6       6       1    1955        4.2400000        3.6303682
       7       7       1    1955        3.4900000        3.4459126
       8       8       1    1955        2.9600000        3.2831463
       9       9       1    1955        2.6000000        3.1389844
      10      10       1    1955        2.6000000        3.0124494
      11      11       1    1955        2.9600000        3.3575634
      12      12       1    1955        4.4000000        4.7211295
      13      13       1    1955        3.3500000        5.1780366
      14      14       1    1955        3.3500000        4.6279230
      15      15       1    1955        3.7800000        4.2188604
      16      16       1    1955        6.0000000        4.7546356
      17      17       1    1955       17.6000000        8.2095127
      18      18       1    1955        6.4400000       14.1854007
      19      19       1    1955        4.7500000       19.6515003
      20      20       1    1955        3.9300000       12.4147264
      21      21       1    1955        3.6300000        6.9526176
      22      22       1    1955        3.4900000        5.4488608
      23      23       1    1955        3.2200000        5.0500592
      24      24       1    1955        3.2200000        4.7501754
      25      25       1    1955        3.2200000        4.4876011
      26      26       1    1955        3.2200000        4.2568361
      27      27       1    1955        3.0900000        4.0532863
      28      28       1    1955        3.0900000        3.8730616
      29      29       1    1955        3.0900000        3.7153947
      30      30       1    1955        3.2200000        3.6545423
      31      31       1    1955        3.2200000        3.8898000
      32       1       2    1955        3.0900000        4.3009857
      33       2       2    1955        3.0900000        4.1137790
      34       3       2    1955        3.2200000        4.1603947
      35       4       2    1955        3.6300000        4.3548619
      36       5       2    1955       11.6000000        5.2928285
      37       6       2    1955       11.3000000        7.3861793
      38       7       2    1955        6.2200000        7.7182607
      39       8       2    1955        6.6600000        7.2663900
      40       9       2    1955       22.1000000        7.3882472
      41      10       2    1955       11.1000000        9.8741779
      42      11       2    1955        6.4400000       13.7499108
      43      12       2    1955        5.5600000       10.5620682
      44      13       2    1955        4.7500000        6.6773989
      45      14       2    1955        4.4000000        5.5767635
      46      15       2    1955        3.9300000        5.2299344
      47      16       2    1955        3.6300000        4.9453150
      48      17       2    1955        3.4900000        4.6951818
      49      18       2    1955        3.7800000        4.4745289
      50      19       2    1955        3.4900000        4.2791297
      51      20       2    1955        3.4900000        4.1054014
      52      21       2    1955        3.6300000        3.9503025
      53      22       2    1955        3.6300000        3.8112466
      54      23       2    1955        3.4900000        3.6860318
      55      24       2    1955        3.4900000        3.5727805
      56      25       2    1955        3.4900000        3.4698894
      57      26       2    1955        3.3500000        3.3759879
      58      27       2    1955        3.2200000        3.2899026
      59      28       2    1955        3.0900000        3.2106275
      60       1       3    1955        3.0900000        3.1372993
      61       2       3    1955        3.0900000        3.0691762
      62       3       3    1955        3.0900000        3.0056197
      63       4       3    1955        3.0900000        2.9460798
      64       5       3    1955        3.0900000        2.8905869
      65       6       3    1955        3.2200000        2.8656429
      66       7       3    1955        3.3500000        2.8966204
      67       8       3    1955        3.2200000        2.8763985
      68       9       3    1955        3.0900000        2.8217233
      69      10       3    1955        2.9600000        2.7687010
      70      11       3    1955        2.9600000        2.7185891
      71      12       3    1955        3.0900000        2.6710657
      72      13       3    1955        3.2200000        2.6258508
      73      14       3    1955        3.3500000        2.5847161
      74      15       3    1955        3.2200000        2.7468516
      75      16       3    1955        4.5700000        3.6138073
      76      17       3    1955        7.1000000        4.2348198
      77      18       3    1955        4.7500000        4.3458807
      78      19       3    1955        4.0900000        4.4046807
      79      20       3    1955        3.7800000        4.0996567
      80      21       3    1955        3.6300000        3.9070284
      81      22       3    1955        3.9300000        4.2158774
      82      23       3    1955       16.2000000        5.5063222
      83      24       3    1955       39.5000000        6.6434914
      84      25       3    1955       29.1000000       11.2578009
      85      26       3    1955       16.5000000       15.1136710
      86      27       3    1955       17.1000000       11.1148826
      87      28       3    1955        8.6700000        8.3408698
      88      29       3    1955        6.8800000        6.9282146
      89      30       3    1955        6.0000000        5.6021792
      90      31       3    1955        5.5600000        5.1147626
      91       1       4    1955        5.5600000        4.8167710
      92       2       4    1955        5.1400000        4.5680638
      93       3       4    1955        4.7500000        4.3487696
      94       4       4    1955        4.9400000        4.1540225
      95       5       4    1955        4.5700000        4.0080632
      96       6       4    1955        4.5700000        3.9888679
      97       7       4    1955        4.2400000        3.9642865
      98       8       4    1955        4.2400000        3.8408118
      99       9       4    1955        4.9400000        3.9148679
     100      10       4    1955        5.3500000        4.7865749
     101      11       4    1955        6.2200000        5.5902737
     102      12       4    1955        5.3500000        5.9058281
     103      13       4    1955        4.7500000        5.9308946
     104      14       4    1955        4.5700000        5.3494055
     105      15       4    1955        4.4000000        4.8904222
